positive,neutral,negative
Well-read,,Shallow
Well-rounded,,Shortsighted
Winning,,Shy
Wise,,Silly
Witty,,Single-minded
Youthful,,Sloppy
,,Slow
,,Sly
,,Small-thinking
,,Softheaded
,,Sordid
,,Steely
,,Stiff
,,Strong-willed
,,Stupid
,,Submissive
,,Superficial
,,Superstitious
,,Suspicious
,,Tactless
,,Tasteless
,,Tense
,,Thievish
,,Thoughtless
,,Timid
,,Transparent
,,Treacherous
,,Trendy
,,Troublesome
,,Unappreciative
,,Uncaring
,,Uncharitable
,,Unconvincing
,,Uncooperative
,,Uncreative
,,Uncritical
,,Unctuous
,,Undisciplined
,,Unfriendly
,,Ungrateful
,,Unhealthy
,,Unimaginative
,,Unimpressive
,,Unlovable
,,Unpolished
,,Unprincipled
,,Unrealistic
,,Unreflective
,,Unreliable
,,Unrestrained
,,Unself-critical
,,Unstable
,,Vacuous
,,Vague
,,Venal
,,Venomous
,,Vindictive
,,Vulnerable
,,Weak
,,Weak-willed
,,Well-meaning
,,Willful
,,Wishful
,,Zany
